Tool Name,Category,Tool Type,Best For,Free Status,Free Limit / Practical Limit,Watermark on Free,Commercial Use on Free,Max Free Resolution,Max Free Duration,Inputs,Student Friendliness,Account Required,Privacy / Consent Risk,Local Install,Min VRAM,Recommended VRAM / GPU,Difficulty,Verification Status,Last Verified,Official / Primary URL,Source URLs,Notes for Students
Dreamina / CapCut Dreamina / Seedance,Cloud Generators,bytedance_video,"Seedance access, social video, character/style tests",free_limited_variable,Free credits/allowance changes often and may be region-gated,Yes,Unknown / likely restricted,Varies,Short clips,"Text, image",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://dreamina.capcut.com/tools/ai-video-generator,https://dreamina.capcut.com/tools/ai-video-generator | https://seed.bytedance.com/en/seedance2_0,"Treat as variable. Good to test, not reliable as primary free pipeline."
Krea Video,Cloud Generators,creative_suite_video,"Creative animation, image/video generation, design experiments",free_limited_or_trial,Free tier/trial may exist; compute units limit use,Maybe,Unknown,Varies,Short clips,"Text, image",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://www.krea.ai/features/ai-video-generator,https://www.krea.ai/features/ai-video-generator,Good creative suite; verify quota and model availability.
Haiper,Cloud Generators,text_image_to_video,Text/image-to-video and creative motion tests,free_limited_or_credits,Credit costs vary by model/resolution,Yes/Maybe,Unknown,Varies,Short clips,"Text, image",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://haiper.ai/,https://haiper.ai/,Add as a candidate; verify current free credits.
Leonardo AI,Cloud Generators,image_plus_motion,Image generation plus motion/video features,free_recurring_daily,Daily tokens; video drains tokens quickly,Maybe,Free commercial rights likely limited; verify,Varies,Short clips,"Text, image",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://leonardo.ai/,https://leonardo.ai/pricing | https://leonardo.ai/faq/,Good for concept art and motion tests; not primarily a video platform.
Magic Hour,Cloud Generators,all_in_one_video,"Face swap, animation, video/image/audio tools",free_basic_credits,Free/basic credits available; video seconds are limited,Yes/Maybe,Paid likely required for pro use,Low/medium,Seconds,"Text, image, video",Easy,Yes,High for face/likeness tools,No,,,Beginner,Needs current verification,2026-05-17,https://magichour.ai/,https://magichour.ai/pricing,Useful all-in-one tool; consent is crucial for face/likeness features.
Meta Vibes / Meta AI Video,Cloud Generators,social_video_remix,Social video generation/remix in Meta ecosystem,free_or_social_free_variable,Access and limits vary by region/account/app,Maybe,Unknown,Varies,Short clips,"Text, image, remix",Easy,Yes,High,No,,,Beginner,Needs current verification,2026-05-17,https://ai.meta.com/vibes/,https://ai.meta.com/vibes/,"Include as social/experimental, not as a controlled production tool."
SeaArt AI,Cloud Generators,image_plus_video_community,"Community models, image generation, some video workflows",free_recurring_daily_variable,Daily stamina; video consumes more than images,Maybe,Unknown,Varies,Short clips,"Text, image, LoRA",Medium,Yes,High,No,,,Intermediate,Needs current verification,2026-05-17,https://www.seaart.ai/,https://www.seaart.ai/,Useful for model exploration; privacy and content policy cautions apply.
Freepik / Magnific,Cloud Generators,creative_suite_video,"Creative AI suite, image/video tools",trial_or_paid_limited,Free access limited; powerful video tools often paid,Maybe,Paid likely required,Varies,Short clips,"Text, image",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://www.magnific.com/,https://www.magnific.com/ | https://www.freepik.com/,Good for creative experimentation; verify current tool bundle.
Higgsfield,Cloud Generators,creative_video_effects,"Motion effects, model access, creative video",free_limited_variable,Free access/credits variable,Maybe,Unknown,Varies,Short clips,"Text, image, effects",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://higgsfield.ai/,https://higgsfield.ai/,"Keep, but classify as variable/freemium."
Vivideo,Cloud Generators,multi_model_video,Text-to-video/image-to-video via platform,free_to_start_unverified,Free claims need verification,Maybe,Unknown,Varies,Short clips,"Text, image",Easy,Yes,Medium,No,,,Beginner,Unverified,2026-05-17,https://vivideo.ai/,https://vivideo.ai/,Keep in candidate list until current pricing is verified.
Synthesia,Avatar / Presenter Tools,avatar_video,"Training videos, presenters, classroom explainers",free_limited_monthly,Free/basic monthly credits or minutes; verify current plan,Yes/Maybe,Paid likely required for full rights/branding,720p/varies,Minutes limited,"Script, avatar, voice",Easy,Yes,High for likeness/voice,No,,,Beginner,Needs current verification,2026-05-17,https://www.synthesia.io/,https://www.synthesia.io/pricing | https://docs.synthesia.io/docs/ai-playground,Strong for presenter videos; avoid cloning real people without consent.
HeyGen,Avatar / Presenter Tools,avatar_video,"Avatars, presenters, localization, lip sync",free_limited_monthly,Free monthly videos/minutes; verify current plan,Yes/Maybe,Paid likely required,720p/varies,Short/minute-limited,"Script, avatar, image, voice",Easy,Yes,High,No,,,Beginner,Needs current verification,2026-05-17,https://www.heygen.com/,https://www.heygen.com/pricing,Good student option for presenter demos; consent matters.
D-ID,Avatar / Presenter Tools,talking_photo_avatar,"Talking photo, avatar agents, image-to-video headshots",trial_only,Free trial/credits; not sustained free,Yes/Maybe,Paid likely required,Varies,Short/minute-limited,"Image, script, voice",Easy,Yes,High,No,,,Beginner,Needs current verification,2026-05-17,https://www.d-id.com/,https://www.d-id.com/pricing/studio/,Good for demos; major consent/privacy caution.
AI Studios / DeepBrain,Avatar / Presenter Tools,avatar_video,Presenter videos and training content,free_limited,Free videos/credits reported; verify current plan,Yes/Maybe,Paid likely required,720p/varies,Minutes limited,"Script, avatar, voice",Easy,Yes,High,No,,,Beginner,Needs current verification,2026-05-17,https://www.aistudios.com/,https://www.aistudios.com/pricing,Useful for classroom explainers.
Vidnoz,Avatar / Presenter Tools,avatar_video,"Templates, avatars, quick explainer videos",free_limited,Free tier reported; verify current credits/minutes,Yes/Maybe,Unknown / paid likely,Varies,Minutes limited,"Script, avatar, voice",Easy,Yes,High,No,,,Beginner,Needs current verification,2026-05-17,https://www.vidnoz.com/,https://www.vidnoz.com/pricing.html,Beginner-friendly; check watermark/rights.
Elai.io,Avatar / Presenter Tools,avatar_video,Learning/training presenter videos,free_trial_or_limited,Trial/free minutes may exist; verify current plan,Yes/Maybe,Paid likely required,Varies,Minutes limited,"Script, avatar, voice",Easy,Yes,High,No,,,Beginner,Needs current verification,2026-05-17,https://elai.io/,https://elai.io/pricing/,Good for course/training demos.
Mango AI,Avatar / Presenter Tools,avatar_talking_photo,"Talking photos, avatars, marketing/explainer clips",free_limited,Free credits reported; verify current plan,Yes/Maybe,Unknown,Varies,Short/minute-limited,"Text, image, avatar",Easy,Yes,High,No,,,Beginner,Needs current verification,2026-05-17,https://mangoanimate.com/,https://mangoanimate.com/store/app/ai,Useful for simple avatar tasks.
Colossyan,Avatar / Presenter Tools,avatar_video,Corporate training and learning content,trial_or_limited,Free trial/free tier may exist; verify current plan,Yes/Maybe,Paid likely required,Varies,Minutes limited,"Script, avatar, voice",Easy,Yes,High,No,,,Beginner,Needs current verification,2026-05-17,https://www.colossyan.com/,https://www.colossyan.com/,Better for L&D than experimental video generation.
AKOOL,Avatar / Presenter Tools,avatar_face_tools,"Marketing video, avatars, face-related tools",free_to_start_variable,Free-to-start/credits variable,Maybe,Unknown,Varies,Short/minute-limited,"Image, video, script, voice",Medium,Yes,High,No,,,Intermediate,Needs current verification,2026-05-17,https://akool.com/,https://akool.com/,High consent risk; do not use classmates’ faces/voices without permission.
Viggle,Avatar / Presenter Tools,character_motion,"Character animation, motion transfer, memes",free_limited_daily,Free daily videos reported; verify current plan,Maybe,Unknown,Varies,Short clips,"Image, motion, video",Easy,Yes,High for likeness,No,,,Beginner,Needs current verification,2026-05-17,https://viggle.ai/,https://viggle.ai/pricing,Fun for motion experiments; consent caution for bodies/likeness.
CapCut,Editors / Marketing Video,editor_ai_social,"Editing, templates, captions, social videos, simple AI video",free_editor_with_ai,Free editor; AI features may have credits/limits,Maybe,Depends on assets/features,Varies,Project dependent,"Text, image, video, audio",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://www.capcut.com/,https://www.capcut.com/tools/ai-video-generator,Excellent student editor. Not a pure cinematic generator.
Canva,Editors / Marketing Video,editor_ai_design,"Design, social video, templates, AI video tools",free_editor_with_ai,Free plan exists; AI feature limits vary,Maybe,Depends on asset license and plan,Varies,Project dependent,"Text, image, video, templates",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://www.canva.com/,https://www.canva.com/features/ai-video-generator/,Good for layouts and presentations; verify stock/template licensing.
Clipchamp,Editors / Marketing Video,editor_ai,"Video editing, captions, voiceovers, cleanup",free_editor_with_ai,Free editor; AI features vary,Maybe,Depends on assets/features,1080p export may be available,Project dependent,"Video, audio, text",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://clipchamp.com/,https://clipchamp.com/en/pricing/,"Editor, not a pure generator."
InVideo AI,Editors / Marketing Video,marketing_prompt_to_video,"Prompt-to-video with stock, scripts, voiceover",free_limited_with_watermark,Free plan likely watermarked/limited,Yes,Paid likely required,Varies,Minutes limited,"Prompt, script, stock, voice",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://invideo.io/,https://invideo.io/pricing/,"Good for marketing-style videos, not photorealistic model generation."
Steve AI,Editors / Marketing Video,animation_marketing_video,"Explainer videos, animation, script-to-video",free_limited,Free credits/tier reported; verify current plan,Yes/Maybe,Unknown / paid likely,Varies,Minutes limited,"Text, script, templates",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://www.steve.ai/,https://www.steve.ai/,Useful for explainers and animation.
VEED,Editors / Marketing Video,editor_ai_marketing,"Editing, captions, AI video tools",free_limited,Free plan/trial with AI limits,Yes/Maybe,Paid likely required,Varies,Project dependent,"Video, audio, text",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://www.veed.io/,https://www.veed.io/,Good for editing and cleanup.
Kapwing,Editors / Marketing Video,editor_ai_marketing,"Online editing, AI tools, subtitles, dubbing",free_limited,Free-to-try/credits; watermark may apply,Yes/Maybe,Paid likely required,Varies,Project dependent,"Video, audio, text",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://www.kapwing.com/,https://www.kapwing.com/ai/overview,Good for classroom-friendly editing.
Pictory,Editors / Marketing Video,text_to_video_marketing,"Blog/script-to-video, summary video, captions",trial_only_or_limited,Mostly trial/freemium; verify current plan,Yes/Maybe,Paid likely required,Varies,Minutes limited,"Script, URL, text, stock",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://pictory.ai/,https://pictory.ai/,Better for narrated stock/template videos.
Fliki,Editors / Marketing Video,text_to_video_voice,"Text-to-video, voiceover, social clips",free_limited_monthly,Free monthly minutes reported; verify current plan,Yes/Maybe,Paid likely required,Varies,Minutes limited,"Text, voice, stock",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://fliki.ai/,https://fliki.ai/pricing,Good for narrated educational/social videos.
Lumen5,Editors / Marketing Video,marketing_video,Text/blog-to-video marketing content,free_limited_with_watermark,Free plan with limitations/watermark,Yes,Paid likely required,Low/medium,Minutes/project dependent,"Text, URL, stock",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://lumen5.com/,https://help.lumen5.com/en/article/how-much-does-lumen5-cost-one87/,Good for quick explainer/social posts.
Renderforest,Editors / Marketing Video,template_video_ai,"Templates, branded videos, AI-assisted creation",free_limited_with_watermark,Free plan with watermark/resolution limits,Yes,Paid likely required,Low/medium,Project dependent,"Templates, text, video",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://www.renderforest.com/,https://www.renderforest.com/,Useful for polished templates.
Animaker,Editors / Marketing Video,animation_video,"Animation, explainer, character videos",free_limited,Free tier with limitations,Yes/Maybe,Paid likely required,Varies,Project dependent,"Text, templates, characters",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://www.animaker.com/,https://www.animaker.com/,Good for animated explainers.
FlexClip,Editors / Marketing Video,template_editor_ai,"Templates, editing, AI video tools",free_limited,Free tier with limitations,Yes/Maybe,Paid likely required,Varies,Project dependent,"Text, templates, video",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://www.flexclip.com/,https://www.flexclip.com/,Good for accessible editing.
Simplified,Editors / Marketing Video,marketing_ai_suite,Marketing design/video suite,free_limited,Free-to-start; limits vary,Yes/Maybe,Paid likely required,Varies,Project dependent,"Text, templates, video",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://simplified.com/,https://simplified.com/,"Marketing suite, not a pure video generator."
Zebracat,Editors / Marketing Video,text_to_video_marketing,"Ads, social videos, blog-to-video",free_limited_or_trial,Free-to-start/trial; verify current plan,Yes/Maybe,Paid likely required,Varies,Minutes limited,"Text, URL, stock",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://www.zebracat.ai/,https://www.zebracat.ai/,Good to include for marketing use cases.
Creatify,Editors / Marketing Video,ad_generator_ugc,"AI ads, UGC-style product videos",free_limited_monthly,Free monthly credits reported; verify current plan,Yes,Paid likely required,Varies,Short ad clips,"URL, product, script, avatar",Easy,Yes,High if avatars/voices,No,,,Beginner,Needs current verification,2026-05-17,https://creatify.ai/,https://creatify.ai/pricing,Useful for ad/marketing assignments; disclose AI use.
Pollo.ai,Aggregators / Hubs,multi_model_hub,Testing multiple models from one interface,free_to_start_credits,Free credits likely limited; exact models cost credits,Maybe,Unknown,Varies,Short clips,"Text, image, model selection",Easy,Yes,Medium,No,,,Beginner,Needs current verification,2026-05-17,https://pollo.ai/,https://pollo.ai/,Good comparison hub; not its own model.
WaveSpeed AI,Aggregators / Hubs,developer_model_hub,"API/model comparisons, side-by-side testing",signup_credits_or_paid_api,Starter credits; ongoing use paid/API-like,Maybe,Depends on model/license,Varies,Varies,"API, text, image",Advanced,Yes,Medium,No,,,Advanced,Needs current verification,2026-05-17,https://wavespeed.ai/,https://wavespeed.ai/models | https://wavespeed.ai/video-generator,Better for technical users than beginners.
FreeWanVideo,Aggregators / Hubs,wan_web_access,Trying Wan models online without local setup,earn_credits_or_free_to_start,Credits may be earned through social sharing; verify carefully,Maybe,Unknown,Varies,Short clips,"Text, image",Medium,Yes,Medium,No,,,Intermediate,Needs current verification,2026-05-17,https://www.freewanvideo.com/,https://www.freewanvideo.com/earn-credits,"Useful as access path, but social-credit model may not suit students."
Fal.ai,Aggregators / Hubs,model_api_hub,Testing open models via hosted API,paid_api_with_possible_free_trial,Usually pay-per-use; free trial may exist,No/Maybe,Depends on model/license,Varies,Varies,"API, text, image",Advanced,Yes,Medium,No,,,Advanced,Needs current verification,2026-05-17,https://fal.ai/,https://fal.ai/models,Include for advanced students who want APIs.
Replicate,Aggregators / Hubs,model_api_hub,Running open models via hosted API,paid_api_with_possible_free_trial,Usually pay-per-use; no sustained free plan,No/Maybe,Depends on model/license,Varies,Varies,"API, text, image",Advanced,Yes,Medium,No,,,Advanced,Needs current verification,2026-05-17,https://replicate.com/,https://replicate.com/,Useful for labs/prototypes; costs can accumulate.
Hugging Face Spaces,Aggregators / Hubs,community_model_hosting,Trying community demos of open models,free_variable_community,Free public demos vary; queues common,Usually no,Depends on model/license,Varies,Varies,"Text, image, video",Medium,Sometimes,Medium/High if uploads public,No,,,Intermediate,Needs current verification,2026-05-17,https://huggingface.co/spaces,https://huggingface.co/spaces,"Good for exploration, but avoid private/identifiable uploads."
Wan2.x / Wan-Video,Open Source / Local,open_source_local_video,"Advanced local text/image/video generation, ComfyUI workflows",open_source_local,No cloud credits; hardware required,No platform watermark,Depends on license/model; verify exact version,480p/720p/varies,5-15s+ depending setup,"Text, image, video, references",Advanced,No,"Lower cloud risk, but still consent risk",Yes,8-12GB for smaller/quantized; 24GB+ for serious; 80GB native large,RTX 4090 24GB for serious; A100/H100/RTX PRO for large,Advanced,Needs current verification,2026-05-17,https://github.com/Wan-Video/Wan2.2,https://github.com/Wan-Video/Wan2.2,Best local candidate for advanced students; hardware is the cost.
LTX-Video / LTX-2,Open Source / Local,open_source_local_video,"Fast local/production workflows, keyframe/image/video generation",open_source_local,No cloud credits; hardware required,No platform watermark,Permissive/open license may apply; verify version,720p/1080p/varies,Short clips,"Text, image, video, audio depending version",Advanced,No,Lower cloud risk,Yes,8GB for Q8/light workflows; 32GB+ for full LTX-2.3,RTX 4060 8GB for Q8 tests; RTX 5090/A100/H100 for full,Intermediate to advanced,Needs current verification,2026-05-17,https://github.com/Lightricks/LTX-Video,https://github.com/Lightricks/LTX-Video | https://docs.ltx.video/open-source-model/getting-started/system-requirements,Strong local option; separate open-source model from LTX Studio.
HunyuanVideo / HunyuanVideo 1.5,Open Source / Local,open_source_local_video,"High-quality local text-to-video, community ComfyUI workflows",open_source_local,No cloud credits; hardware required,No platform watermark,Verify license/commercial rights by version,720p/varies,Short clips,"Text, image via workflows",Advanced,No,Lower cloud risk,Yes,14-16GB optimized/offload; 45-60GB native older/full,RTX 4080/4090 for optimized; 80GB GPU for native,Advanced,Needs current verification,2026-05-17,https://github.com/Tencent-Hunyuan/HunyuanVideo,https://github.com/Tencent-Hunyuan/HunyuanVideo | https://huggingface.co/tencent/HunyuanVideo-1.5,"Good local model, but installation complexity is real."
CogVideoX,Open Source / Local,open_source_local_video,Text-to-video/image-to-video local generation,open_source_local,No cloud credits; hardware required,No platform watermark,Verify license/commercial rights by model,720p/1080p/varies,Short clips,"Text, image, video continuation",Advanced,No,Lower cloud risk,Yes,8-12GB for smaller/quantized; 16-22GB for 5B workflows,RTX 3060 12GB for tests; RTX 4080/4090 for comfort,Intermediate to advanced,Needs current verification,2026-05-17,https://github.com/zai-org/CogVideo,https://github.com/zai-org/CogVideo | https://github.com/huggingface/diffusers/blob/main/docs/source/en/training/cogvideox.md,Good student-local option if they can handle ComfyUI/Diffusers.
Mochi 1 / Genmo,Open Source / Local,open_source_local_video,Open text-to-video research and local tests,open_source_local,No cloud credits; hardware required,No platform watermark,Verify license/commercial rights,Varies,Short clips,Text,Advanced,No,Lower cloud risk,Yes,High; optimized workflows vary,RTX 4090+ recommended for practical use,Advanced,Needs current verification,2026-05-17,https://github.com/genmoai/mochi,https://github.com/genmoai/mochi | https://www.genmo.ai/,"Good to include, but not beginner-friendly."
Stable Video Diffusion,Open Source / Local,image_to_video_local,"Image-to-video short clips, local workflow learning",open_model_local,No cloud credits; hardware required,No platform watermark,Community/research license constraints; verify,576x1024/varies,~25 frames / short clips,Image,Intermediate,No,Lower cloud risk,Yes,8-10GB optimized,RTX 3060/4060+,Intermediate,Needs current verification,2026-05-17,https://huggingface.co/stabilityai/stable-video-diffusion-img2vid,https://huggingface.co/stabilityai/stable-video-diffusion-img2vid | https://huggingface.co/docs/diffusers/v0.24.0/en/using-diffusers/svd,Good local teaching tool; older than Wan/LTX/Hunyuan.
AnimateDiff,Open Source / Local,animation_workflow,"Animating Stable Diffusion outputs, motion modules",open_source_workflow,No cloud credits; hardware required,No platform watermark,Depends on base model/license,Varies,Short loops/clips,"Text, image via SD workflows",Intermediate,No,Lower cloud risk,Yes,8-12GB typical,RTX 3060 12GB / 4060 Ti 16GB+,Intermediate,Needs current verification,2026-05-17,https://github.com/guoyww/AnimateDiff,https://github.com/guoyww/AnimateDiff,"Workflow component, not a modern standalone generator."
FramePack,Open Source / Local,efficient_local_video,Longer local generation with lower memory pressure,open_source_workflow,No cloud credits; hardware required,No platform watermark,Verify license and model dependencies,Varies,Longer sequences possible,"Image, text depending workflow",Advanced,No,Lower cloud risk,Yes,~6GB claimed for some workflows,RTX 3060/4060 minimum; RTX 4090 comfortable,Advanced,Needs current verification,2026-05-17,https://github.com/lllyasviel/framepack,https://github.com/lllyasviel/framepack | https://lllyasviel.github.io/frame_pack_gitpage/,"Promising for students with modest GPUs, but still technical."
SkyReels V2,Open Source / Local,open_source_local_video,"Human/character-centric video, long videos",open_source_local,No cloud credits; hardware required,No platform watermark,Verify license/commercial rights,Varies,Longer clips reported,"Text, image, video",Advanced,No,Lower cloud risk,Yes,16-24GB+ depending workflow,RTX 4090+ recommended,Advanced,Needs current verification,2026-05-17,https://github.com/skyworkai/skyreels-v2,https://github.com/skyworkai/skyreels-v2,Include for advanced/human-centric workflows.
Pyramid Flow,Open Source / Local,open_source_local_video,Autoregressive/flow-matching video generation research,open_source_local,No cloud credits; hardware required,No platform watermark,Verify license/commercial rights,768p/varies,Up to ~10s reported,"Text, image",Advanced,No,Lower cloud risk,Yes,High; varies by model/workflow,RTX 4090+ recommended,Advanced,Needs current verification,2026-05-17,https://github.com/jy0205/Pyramid-Flow,https://github.com/jy0205/Pyramid-Flow,Good research/open-source candidate.
Open-Sora / Open-Sora Plan,Open Source / Local,open_source_research,"Research/open reproduction efforts, not OpenAI Sora",open_source_research,No cloud credits; hardware required,No platform watermark,Verify license/commercial rights,Varies,Varies,"Text, image",Advanced,No,Lower cloud risk,Yes,High; varies,High-end NVIDIA GPU(s),Advanced,Needs current verification,2026-05-17,https://github.com/hpcaitech/Open-Sora,https://github.com/hpcaitech/Open-Sora,Do not confuse with OpenAI Sora product.
NVIDIA Cosmos,Open Source / Local,world_model_physical_ai,"Robotics, simulation, autonomous systems, physical AI",open_source_world_model,No cloud credits; heavy hardware required,No platform watermark,Apache/NVIDIA Open Model terms; verify,Video/world simulation,Research sequences,"Video, control data, world states",Advanced,No,Lower cloud risk,Yes,Workstation/datacenter level,RTX PRO/A100/H100/Blackwell,Expert,Needs current verification,2026-05-17,https://github.com/nvidia-cosmos,https://github.com/nvidia-cosmos | https://www.nvidia.com/en-us/ai/cosmos/,"Include in advanced appendix, not as student creative video generator."
Deforum / Stable Diffusion animation workflows,Open Source / Local,open_source_workflow,"Stylized animation, music/video workflows, camera moves",open_source_workflow,No cloud credits; hardware required,No platform watermark,Depends on base model/license,Varies,Longer animations possible,"Text, image, keyframes",Intermediate,No,Lower cloud risk,Yes,8-12GB typical,RTX 3060 12GB+,Intermediate,Candidate / needs verification,2026-05-17,https://github.com/deforum-art/deforum-stable-diffusion,https://github.com/deforum-art/deforum-stable-diffusion,"Useful historically and pedagogically, but not state-of-the-art."
ModelScope Text-to-Video,Open Source / Local,open_source_legacy_video,Legacy text-to-video teaching/demo workflows,open_model_legacy,No cloud credits; hardware required,No platform watermark,Verify license/restrictions,Low,Short clips,Text,Intermediate,No,Lower cloud risk,Yes,8-12GB typical,RTX 3060 12GB+,Intermediate,Candidate / older,2026-05-17,https://huggingface.co/damo-vilab/text-to-video-ms-1.7b,https://huggingface.co/damo-vilab/text-to-video-ms-1.7b,Older model; include only as historical/teaching option.
OpenAI Sora,Removed / Caution,discontinued_or_not_free_current,Historical context only,not_current_free_tool,Sora web/app discontinued; API discontinuation scheduled,N/A,N/A,N/A,N/A,"Text, image",N/A,Yes,Medium,No,,,N/A,Remove from main list,2026-05-17,https://help.openai.com/en/articles/20001152-what-to-know-about-the-sora-discontinuation,https://help.openai.com/en/articles/20001152-what-to-know-about-the-sora-discontinuation,Do not list as a current free student resource.
